Prov,Mun,Brgy,Area,Lat,Long,Occurance,Elev,Slope,Aspect,HorizontalCurvature,VerticalCurvature,Lithology,SoilType,PGAComp,Landslide
Cotabato,Tulunan,Bacong,1504.29,6.79192,125.043,29/31,524,22.5651722,Northeast,-0.015345396,-0.001092245,Andesite and/or basalt flows,Sandy Clay Loam,0.323694944,1
Cotabato,Tulunan,Bacong,2183.87,6.79102,125.042,29/31,509,15.76804829,West,0.00946675,0.000794326,Andesite and/or basalt flows,Sandy Clay Loam,0.31283176,1
Cotabato,Tulunan,Bacong,1330.08,6.81502,125.044,29/31,313,19.39256096,Southwest,0.012232628,0.008419475,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,448.609,6.8151,125.045,29/31,321,23.88195419,Southwest,0.016331516,0.002629173,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,543.936,6.81531,125.045,29/31,344,26.6460495,North,0.014693569,0.004991056,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,564.369,6.81446,125.045,29/31,313,17.16139221,Southwest,-0.015840119,0.013689548,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Bacong,662.613,6.81512,125.043,29/31,302,16.96601295,Northeast,0.019971203,-0.016585505,Andesite and/or basalt flows,Sandy Clay Loam,0.314760655,1
Cotabato,Tulunan,Magbok,461.835,6.81815,125.046,29/31,352,13.41607571,West,0.006581089,0.006671856,Andesite and/or basalt flows,Sandy Clay Loam,0.312981606,1
Cotabato,Tulunan,Batang,2545.99,6.82388,125.043,29/31,433,17.85216713,Southwest,-0.00972975,0.005125262,Andesite and/or basalt flows,Sandy Clay Loam,0.337250143,1
Cotabato,Tulunan,Batang,2111.65,6.82458,125.044,29/31,469,22.9082756,Southwest,-0.019373098,0.010483856,Andesite and/or basalt flows,Sandy Clay Loam,0.337250143,1
Cotabato,Tulunan,Batang,316.748,6.83472,125.031,29/31,248,12.3741951,East,-0.10040915,-0.00292611,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,440.384,6.83479,125.032,29/31,257,7.268043995,East,0.001093525,-0.010717653,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,250.827,6.83531,125.031,29/31,250,13.07537651,South,0.031241549,-0.006253699,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,585.667,6.83553,125.031,29/31,248,16.17066383,South,0.009560733,-0.001230133,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,1371.7,6.83563,125.03,29/31,221,11.37821865,Southeast,-0.014875716,-0.006586068,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,457.995,6.83461,125.029,29/31,213,11.6690321,Southeast,-0.005045599,-0.005796965,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,254.934,6.83494,125.029,29/31,218,11.06435394,East,-0.017479114,-0.00609096,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,71.0152,6.83516,125.029,29/31,233,15.57622242,East,-0.018485494,-0.005417743,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,96.2248,6.83537,125.029,29/31,233,15.00675869,Southeast,-0.026789909,0.010872531,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,438.999,6.83561,125.029,29/31,236,17.59319305,Southeast,-0.021558288,0.000629742,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,217.702,6.83511,125.029,29/31,218,12.33245945,East,-0.053876057,-0.019556908,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,2542.73,6.83422,125.028,29/31,198,9.221146584,South,-0.000123793,0.004260379,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,560.879,6.83591,125.028,29/31,268,23.63599014,North,-0.022646584,-0.000287518,Andesite and/or basalt flows,Sandy Clay Loam,0.310627848,1
Cotabato,Tulunan,Batang,1010.83,6.8326,125.037,29/31,335,23.90751648,Southwest,0.016838444,-0.009465718,Andesite and/or basalt flows,Sandy Clay Loam,0.292923719,1
Cotabato,Tulunan,Batang,4082.66,6.8335,125.035,29/31,313,25.37680626,Southwest,0.008218587,0.000564059,Andesite and/or basalt flows,Sandy Clay Loam,0.292923719,1
